% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.511	1	1	52	2	1	28	2196	0	0	0
0.511	2	2	52	2	1	28	2196	0	0	0
0.513	1	1	52	4	1	28	2196	0	0	0
0.513	2	2	52	4	1	28	2196	0	0	0
0.611	1	1	62	2	1	28	2196	0	0	0
0.611	2	2	62	2	1	28	2196	0	0	0
0.612	1	1	62	3	1	28	2196	0	0	0
0.612	2	2	62	3	1	28	2196	0	0	0
0.711	1	1	72	2	1	28	2196	0	0	0
0.711	2	2	72	2	1	28	2196	0	0	0
0.712	1	1	72	3	1	28	2196	0	0	0
0.712	2	2	72	3	1	28	2196	0	0	0
0.811	1	1	82	2	1	28	2196	0	0	0
0.811	2	2	82	2	1	28	2196	0	0	0
0.812	1	1	82	3	1	28	2196	0	0	0
0.812	2	2	82	3	1	28	2196	0	0	0
0.911	1	1	92	2	1	28	2196	0	0	0
0.911	2	2	92	2	1	28	2196	0	0	0
0.912	1	1	92	3	1	28	2196	0	0	0
0.912	2	2	92	3	1	28	2196	0	0	0
1.011	1	1	102	2	1	28	2196	0	0	0
1.011	2	2	102	2	1	28	2196	0	0	0
1.012	1	1	102	3	1	28	2196	0	0	0
1.012	2	2	102	3	1	28	2196	0	0	0
