% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
513	1	1	1	0	28	2196	0	1	0
513	2	2	1	0	28	2196	0	1	0
515	1	1	1	0	28	2196	0	1	0
515	2	2	1	0	28	2196	0	1	0
613	1	1	1	0	28	2196	0	1	0
613	2	2	1	0	28	2196	0	1	0
614	1	1	1	0	28	2196	0	1	0
614	2	2	1	0	28	2196	0	1	0
713	1	1	1	0	28	2196	0	1	0
713	2	2	1	0	28	2196	0	1	0
714	1	1	1	0	28	2196	0	1	0
714	2	2	1	0	28	2196	0	1	0
813	1	1	1	0	28	2196	0	1	0
813	2	2	1	0	28	2196	0	1	0
814	1	1	1	0	28	2196	0	1	0
814	2	2	1	0	28	2196	0	1	0
913	1	1	1	0	28	2196	0	1	0
913	2	2	1	0	28	2196	0	1	0
914	1	1	1	0	28	2196	0	1	0
914	2	2	1	0	28	2196	0	1	0
1013	1	1	1	0	28	2196	0	1	0
1013	2	2	1	0	28	2196	0	1	0
1014	1	1	1	0	28	2196	0	1	0
1014	2	2	1	0	28	2196	0	1	0
